temperatura,tiempo,fecha,hora,minutos
45.45671463012695,2024-03-12 14:36:38+03:00,2024-03-12,14,30
44.161537170410156,2024-03-12 15:06:38+03:00,2024-03-12,15,0
43.33783721923828,2024-03-12 15:36:38+03:00,2024-03-12,15,30
45.42639923095703,2024-03-12 16:06:38+03:00,2024-03-12,16,0
47.149864196777344,2024-03-12 16:36:38+03:00,2024-03-12,16,30
47.605709075927734,2024-03-12 17:06:38+03:00,2024-03-12,17,0
48.008846282958984,2024-03-12 17:36:38+03:00,2024-03-12,17,30
48.29999923706055,2024-03-12 18:06:38+03:00,2024-03-12,18,0
48.68128967285156,2024-03-12 18:36:38+03:00,2024-03-12,18,30
49.260738372802734,2024-03-12 19:06:38+03:00,2024-03-12,19,0
49.59647750854492,2024-03-12 19:36:38+03:00,2024-03-12,19,30
50.038604736328125,2024-03-12 20:06:38+03:00,2024-03-12,20,0
50.247833251953125,2024-03-12 20:36:38+03:00,2024-03-12,20,30
50.703189849853516,2024-03-12 21:06:38+03:00,2024-03-12,21,0
51.0,2024-03-12 21:36:38+03:00,2024-03-12,21,30
51.28519821166992,2024-03-12 22:06:38+03:00,2024-03-12,22,0
51.55402374267578,2024-03-12 22:36:38+03:00,2024-03-12,22,30
51.688758850097656,2024-03-12 23:06:38+03:00,2024-03-12,23,0
51.78842544555664,2024-03-12 23:36:38+03:00,2024-03-12,23,30
51.74197006225586,2024-03-13 00:06:38+03:00,2024-03-13,0,0
51.67631530761719,2024-03-13 00:36:38+03:00,2024-03-13,0,30
51.610660552978516,2024-03-13 01:06:38+03:00,2024-03-13,1,0
51.54500961303711,2024-03-13 01:36:38+03:00,2024-03-13,1,30
51.33498764038086,2024-03-13 02:06:38+03:00,2024-03-13,2,0
51.04514694213867,2024-03-13 02:36:38+03:00,2024-03-13,2,30
50.836669921875,2024-03-13 03:06:38+03:00,2024-03-13,3,0
50.387264251708984,2024-03-13 03:36:38+03:00,2024-03-13,3,30
45.564903259277344,2024-03-13 04:06:38+03:00,2024-03-13,4,0
44.65859603881836,2024-03-13 04:36:38+03:00,2024-03-13,4,30
44.884742736816406,2024-03-13 05:06:38+03:00,2024-03-13,5,0
45.55897903442383,2024-03-13 05:36:38+03:00,2024-03-13,5,30
